,dataset,checkpoint,id_median,ood_median,id_iqr,ood_iqr,noise_rate,ood_dataset,seed,scores_max,scores_min
39,cifar10,best.ckpt,0.9995013,0.9228936,0.0017517805099487305,0.28214526176452637,0.0,food101,s20,0.9999995,0.18177147
40,cifar10,best.ckpt,0.9995013,0.88192046,0.0017517805099487305,0.32463282346725464,0.0,stanfordproducts,s20,0.9999995,0.18177147
41,cifar10,best.ckpt,0.9995013,0.8335065,0.0017517805099487305,0.33775748312473297,0.0,eurosat,s20,0.9999995,0.18177147
42,cifar10,last*.ckpt,0.99999976,0.991689,5.128979682922363e-05,0.12896767258644104,0.0,imagenet6_test,s0,1.0,0.22822963
43,cifar10,last*.ckpt,0.99999976,0.9875071,5.128979682922363e-05,0.1394871324300766,0.0,mnist,s0,1.0,0.22822963
44,cifar10,last*.ckpt,0.99999976,0.9988873,5.128979682922363e-05,0.03626258671283722,0.0,svhn,s0,1.0,0.22822963
45,cifar10,last*.ckpt,0.99999976,0.9784979,5.128979682922363e-05,0.18639029562473297,0.0,texture,s0,1.0,0.22822963
46,cifar10,last*.ckpt,0.99999976,0.9901002,5.128979682922363e-05,0.13566112518310547,0.0,food101,s0,1.0,0.22822963
47,cifar10,last*.ckpt,0.99999976,0.9857796,5.128979682922363e-05,0.152781143784523,0.0,stanfordproducts,s0,1.0,0.22822963
48,cifar10,last*.ckpt,0.99999976,0.96377045,5.128979682922363e-05,0.15533730387687683,0.0,eurosat,s0,1.0,0.22822963
49,cifar10,last*.ckpt,0.9999999,0.98810005,4.70280647277832e-05,0.16025136411190033,0.0,imagenet6_test,s2,1.0,0.16575792
50,cifar10,last*.ckpt,0.9999999,0.98407674,4.70280647277832e-05,0.1565839648246765,0.0,mnist,s2,1.0,0.16575792
51,cifar10,last*.ckpt,0.9999999,0.9950191,4.70280647277832e-05,0.08846044540405273,0.0,svhn,s2,1.0,0.16575792
52,cifar10,last*.ckpt,0.9999999,0.97174805,4.70280647277832e-05,0.2168833613395691,0.0,texture,s2,1.0,0.16575792
53,cifar10,last*.ckpt,0.9999999,0.98739874,4.70280647277832e-05,0.15009254217147827,0.0,food101,s2,1.0,0.16575792
54,cifar10,last*.ckpt,0.9999999,0.9788358,4.70280647277832e-05,0.17752553522586823,0.0,stanfordproducts,s2,1.0,0.16575792
55,cifar10,last*.ckpt,0.9999999,0.94360846,4.70280647277832e-05,0.24585719406604767,0.0,eurosat,s2,1.0,0.16575792
56,cifar10,last*.ckpt,0.9999999,0.98814917,6.526708602905273e-05,0.14960019290447235,0.0,imagenet6_test,s20,1.0,0.2006784
57,cifar10,last*.ckpt,0.9999999,0.9786029,6.526708602905273e-05,0.17612046003341675,0.0,mnist,s20,1.0,0.2006784
58,cifar10,last*.ckpt,0.9999999,0.9929303,6.526708602905273e-05,0.10402922332286835,0.0,svhn,s20,1.0,0.2006784
59,cifar10,last*.ckpt,0.9999999,0.97103024,6.526708602905273e-05,0.20250363647937775,0.0,texture,s20,1.0,0.2006784
60,cifar10,last*.ckpt,0.9999999,0.988564,6.526708602905273e-05,0.14095377922058105,0.0,food101,s20,1.0,0.2006784
61,cifar10,last*.ckpt,0.9999999,0.9816445,6.526708602905273e-05,0.1657387614250183,0.0,stanfordproducts,s20,1.0,0.2006784
62,cifar10,last*.ckpt,0.9999999,0.92377305,6.526708602905273e-05,0.28114424645900726,0.0,eurosat,s20,1.0,0.2006784
63,cifar10,best.ckpt,0.99999964,0.9904455,7.763504981994629e-05,0.13718779385089874,0.0,imagenet6_test,s0,1.0,0.21042441
64,cifar10,best.ckpt,0.99999964,0.9890392,7.763504981994629e-05,0.12744967639446259,0.0,mnist,s0,1.0,0.21042441
65,cifar10,best.ckpt,0.99999964,0.9987634,7.763504981994629e-05,0.03616303205490112,0.0,svhn,s0,1.0,0.21042441
66,cifar10,best.ckpt,0.99999964,0.9733624,7.763504981994629e-05,0.19768692553043365,0.0,texture,s0,1.0,0.21042441
67,cifar10,best.ckpt,0.99999964,0.9881102,7.763504981994629e-05,0.14391183853149414,0.0,food101,s0,1.0,0.21042441
68,cifar10,best.ckpt,0.99999964,0.9805398,7.763504981994629e-05,0.16585464775562286,0.0,stanfordproducts,s0,1.0,0.21042441
69,cifar10,best.ckpt,0.99999964,0.93057805,7.763504981994629e-05,0.2150183618068695,0.0,eurosat,s0,1.0,0.21042441
70,cifar10,best.ckpt,0.9999999,0.9865681,5.352497100830078e-05,0.15039491653442383,0.0,imagenet6_test,s2,1.0,0.21892954
71,cifar10,best.ckpt,0.9999999,0.9836591,5.352497100830078e-05,0.16445936262607574,0.0,mnist,s2,1.0,0.21892954
