,dataset,checkpoint,id_median,ood_median,id_iqr,ood_iqr,noise_rate,ood_dataset,seed,scores_max,scores_min
41,cifar10,best.ckpt,9.210689,5.06921,1.760915994644165,2.2399548292160034,0.0,eurosat,s20,15.738562,1.106478
42,cifar10,last*.ckpt,17.363884,10.232735,4.433350563049316,5.092796087265015,0.0,imagenet6_test,s0,20.409956,1.5933516
43,cifar10,last*.ckpt,17.363884,9.663497,4.433350563049316,4.690776586532593,0.0,mnist,s0,20.409956,1.5933516
44,cifar10,last*.ckpt,17.363884,11.094732,4.433350563049316,3.757314920425415,0.0,svhn,s0,20.409956,1.5933516
45,cifar10,last*.ckpt,17.363884,8.878767,4.433350563049316,4.487583160400391,0.0,texture,s0,20.409956,1.5933516
46,cifar10,last*.ckpt,17.363884,9.959548,4.433350563049316,4.921926498413086,0.0,food101,s0,20.409956,1.5933516
47,cifar10,last*.ckpt,17.363884,9.586137,4.433350563049316,4.640512943267822,0.0,stanfordproducts,s0,20.409956,1.5933516
48,cifar10,last*.ckpt,17.363884,9.018652,4.433350563049316,2.7625021934509277,0.0,eurosat,s0,20.409956,1.5933516
49,cifar10,last*.ckpt,18.32684,10.105185,5.5187907218933105,5.3371559381484985,0.0,imagenet6_test,s2,22.909748,0.92860717
50,cifar10,last*.ckpt,18.32684,9.727188,5.5187907218933105,5.129700064659119,0.0,mnist,s2,22.909748,0.92860717
51,cifar10,last*.ckpt,18.32684,10.098139,5.5187907218933105,4.176919221878052,0.0,svhn,s2,22.909748,0.92860717
52,cifar10,last*.ckpt,18.32684,8.769072,5.5187907218933105,4.652443051338196,0.0,texture,s2,22.909748,0.92860717
53,cifar10,last*.ckpt,18.32684,9.900755,5.5187907218933105,5.105020523071289,0.0,food101,s2,22.909748,0.92860717
54,cifar10,last*.ckpt,18.32684,9.320534,5.5187907218933105,4.787140369415283,0.0,stanfordproducts,s2,22.909748,0.92860717
55,cifar10,last*.ckpt,18.32684,8.49815,5.5187907218933105,3.529512405395508,0.0,eurosat,s2,22.909748,0.92860717
56,cifar10,last*.ckpt,18.274792,10.345121,5.354264736175537,5.169936180114746,0.0,imagenet6_test,s20,22.80084,1.7352407
57,cifar10,last*.ckpt,18.274792,9.890485,5.354264736175537,4.873422861099243,0.0,mnist,s20,22.80084,1.7352407
58,cifar10,last*.ckpt,18.274792,10.208952,5.354264736175537,4.114435195922852,0.0,svhn,s20,22.80084,1.7352407
59,cifar10,last*.ckpt,18.274792,8.958053,5.354264736175537,4.575345993041992,0.0,texture,s20,22.80084,1.7352407
60,cifar10,last*.ckpt,18.274792,10.243565,5.354264736175537,5.10353946685791,0.0,food101,s20,22.80084,1.7352407
61,cifar10,last*.ckpt,18.274792,9.807043,5.354264736175537,4.934248566627502,0.0,stanfordproducts,s20,22.80084,1.7352407
62,cifar10,last*.ckpt,18.274792,8.790941,5.354264736175537,3.2610195875167847,0.0,eurosat,s20,22.80084,1.7352407
63,cifar10,best.ckpt,17.112879,10.143137,4.626875400543213,5.09559965133667,0.0,imagenet6_test,s0,20.34094,1.421318
64,cifar10,best.ckpt,17.112879,9.744957,4.626875400543213,4.4921715259552,0.0,mnist,s0,20.34094,1.421318
65,cifar10,best.ckpt,17.112879,10.795967,4.626875400543213,3.650566339492798,0.0,svhn,s0,20.34094,1.421318
66,cifar10,best.ckpt,17.112879,8.674749,4.626875400543213,4.33392059803009,0.0,texture,s0,20.34094,1.421318
67,cifar10,best.ckpt,17.112879,9.684528,4.626875400543213,4.873446464538574,0.0,food101,s0,20.34094,1.421318
68,cifar10,best.ckpt,17.112879,9.2558565,4.626875400543213,4.527576565742493,0.0,stanfordproducts,s0,20.34094,1.421318
